,Age,NHLid,Position,GP,G,A,PTS,+/-,TOI/GP,IPP%,PTS/GP,Seasons
416,29,8473463,C,82,14,18,32,6,16.97,40.0,0.3902439024390244,4
417,19,8478439,C,70,11,17,28,-2,14.08,66.7,0.4,1
418,29,8471685,C,76,12,40,52,-10,20.77,73.2,0.6842105263157895,11
419,30,8471232,LW/RW,69,8,12,20,5,12.4,62.5,0.2898550724637681,1
420,23,8479290,C,1,0,0,0,0,6.9,0.0,0.0,1
421,25,8475184,C,75,28,25,53,6,17.0,70.7,0.7066666666666667,5
422,30,8471276,C,82,23,31,54,-12,18.17,74.0,0.6585365853658537,11
423,35,8468509,D,57,2,11,13,-7,19.45,28.3,0.22807017543859648,13
424,25,8476792,D,81,8,43,51,-10,21.47,56.0,0.6296296296296297,6
425,26,8475323,C,70,5,12,17,7,14.02,53.1,0.24285714285714285,7
426,23,8476453,RW,74,40,45,85,13,19.43,82.5,1.1486486486486487,4
427,24,8475832,RW,57,4,12,16,8,10.65,69.6,0.2807017543859649,2
428,22,8476967,D,21,0,3,3,-3,14.25,42.9,0.14285714285714285,3
429,30,8473579,LW/RW,72,12,11,23,3,13.82,51.1,0.3194444444444444,9
430,26,8475179,D,47,2,3,5,-26,21.9,25.0,0.10638297872340426,8
431,37,8470543,LW,71,9,20,29,0,15.52,63.0,0.4084507042253521,13
432,23,8476374,C,8,0,1,1,-1,9.2,100.0,0.125,1
433,24,8475744,C,82,19,40,59,18,16.95,72.0,0.7195121951219512,4
434,21,8478099,RW,55,8,12,20,9,13.68,57.1,0.36363636363636365,1
435,23,8476425,C,13,0,0,0,-2,6.77,0.0,0.0,1
436,31,8471217,LW,78,23,8,31,-14,16.18,64.6,0.3974358974358974,12
437,24,8476983,D,22,0,8,8,-5,15.4,50.0,0.36363636363636365,1
438,18,8479339,RW,73,36,28,64,7,17.92,70.3,0.8767123287671232,1
439,25,8475165,C,22,1,3,4,2,9.77,44.4,0.18181818181818182,1
440,24,8476455,LW,72,18,15,33,-25,18.78,68.8,0.4583333333333333,6
441,24,8479250,RW,43,4,3,7,-17,11.78,50.0,0.16279069767441862,1
442,20,8477946,C,80,17,15,32,-28,16.15,69.6,0.4,2
443,27,8474707,D,26,1,5,6,-8,16.47,46.2,0.23076923076923078,1
444,24,8476457,D,79,4,15,19,21,20.12,25.0,0.24050632911392406,6
