Position_previous,GP_previous,G_previous,A_previous,PTS_previous,+/-_previous,TOI_previous,IPP%_previous,Shots_previous,Shots_missed_previous,Shots_cbar_previous,Shots_post_previous,Team_previous,Position_next,GP_next,G_next,A_next,PTS_next,+/-_next,TOI_next,IPP%_next,Shots_next,Shots_missed_next,Shots_cbar_next,Shots_post_next,Team_next,latest_PTS,latest_+/-,latest_A,latest_G,latest_TOI
3,14,0,3,3,1,8627,75.0,7,5,0,0,51,3,3,0,1,1,0,2035,49.461443066516324,3,1,0,0,51,14,1,7,7,30693
1,77,2,10,12,-7,94549,30.8,57,33,0,0,31,1,66,1,5,6,-3,73091,21.4,40,13,0,1,31,2,-4,2,0,30478
1,64,17,29,46,8,77147,57.5,152,74,1,4,49,1,76,7,32,39,-21,89350,48.8,198,99,1,5,49,65,10,52,13,100411
0,2,0,1,1,1,878,100.0,0,1,0,0,53,0,20,6,2,8,-1,18441,72.7,30,12,0,0,53,64,34,39,25,79497
3,80,9,9,18,-4,69452,78.3,116,45,0,2,54,3,76,27,13,40,22,64272,74.1,162,54,3,2,47,36,11,9,27,71129
0,47,6,4,10,-4,38881,45.5,56,28,0,0,55,0,69,19,13,32,-19,71657,68.1,122,49,1,2,55,12,-10,4,8,51694
0,82,13,31,44,-12,89148,78.6,160,51,0,0,42,0,81,26,43,69,23,91487,73.4,177,58,1,8,42,67,13,46,21,86771
0,15,0,1,1,-7,9791,52.7478747203579,22,7,0,0,34,0,46,0,4,4,-5,26938,57.1,40,19,0,0,31,24,3,12,12,43948
0,2,0,0,0,-1,1393,0.0,2,1,0,0,42,0,52,7,2,9,7,30703,50.0,48,22,0,1,42,0,-3,0,0,2022
1,5,0,0,0,0,3503,0.0,2,6,0,0,41,1,49,1,6,7,3,41602,30.4,52,31,1,0,41,3,-3,3,0,13472
1,74,7,28,35,-6,87772,53.0,124,49,0,2,38,1,72,14,22,36,-20,101763,51.4,125,56,1,1,38,33,-14,25,8,87445
1,82,4,9,13,7,112925,28.3,63,41,1,0,44,1,66,4,9,13,-16,86898,28.9,83,53,0,1,44,13,-9,10,3,102662
0,4,0,1,1,-4,2392,50.0,2,1,0,0,30,0,24,0,5,5,6,18337,35.7,21,19,0,0,40,3,-6,1,2,13313
0,20,3,2,5,-4,14238,55.6,29,8,0,0,40,0,4,0,1,1,-3,2640,100.0,11,2,0,0,36,3,0,2,1,3471
1,53,1,5,6,0,56866,20.7,58,28,1,0,39,1,40,2,4,6,-5,38735,33.3,45,19,0,0,39,2,4,2,0,18564
1,76,5,9,14,-3,90487,35.9,150,68,0,0,49,1,67,6,17,23,8,77555,42.6,113,67,1,0,49,16,0,14,2,71826
1,64,2,7,9,3,77232,25.0,73,32,1,0,40,1,30,1,5,6,-14,36603,37.5,40,15,0,0,55,5,-7,3,2,57473
1,72,3,6,9,7,75080,20.9,51,25,0,0,52,1,56,0,6,6,-5,45681,37.5,32,16,0,0,52,9,15,4,5,61107
2,80,14,25,39,8,75393,73.6,178,54,0,4,50,2,61,6,16,22,10,56693,56.4,128,43,0,0,50,31,8,21,10,77478
1,81,5,14,19,-13,108498,37.3,131,51,0,1,32,1,72,4,13,17,-8,95169,33.3,71,38,0,0,32,23,12,19,4,104951
0,16,1,0,1,-2,6814,100.0,10,2,0,0,51,0,58,2,10,12,6,31939,54.5,38,26,0,0,51,9,-13,6,3,35059
2,82,26,39,65,-4,94485,84.4,286,79,1,2,39,2,72,20,33,53,-9,83510,76.8,238,62,0,2,44,93,14,54,39,87286
1,58,3,10,13,-2,74525,37.1,72,27,0,1,55,1,79,1,15,16,-7,91766,28.1,83,34,0,0,37,24,-6,21,3,96903
1,82,12,31,43,-14,97257,62.3,190,78,0,2,34,1,81,13,37,50,12,95665,60.2,222,73,0,5,34,44,1,27,17,105932
0,4,1,1,2,1,3048,100.0,7,0,0,0,34,0,26,2,0,2,-3,15258,40.0,30,10,0,0,34,1,0,1,0,8621
1,72,5,16,21,-5,102918,40.4,147,70,0,0,46,1,49,3,11,14,-21,60139,41.2,74,35,0,0,46,11,-9,10,1,91900
1,79,4,18,22,-14,84865,37.3,122,56,0,1,32,1,81,4,25,29,-19,87092,46.8,108,55,0,0,32,32,-20,22,10,89397
1,10,0,6,6,0,9599,75.0,10,5,0,0,43,1,7,0,0,0,-3,4266,0.0,5,0,0,0,43,0,0,0,0,3339
2,4,0,0,0,-2,1715,0.0,3,0,0,0,33,2,10,1,1,2,0,5476,50.0,8,3,0,0,33,6,-1,3,3,16577
3,67,22,16,38,16,66065,79.2,117,36,0,3,55,3,43,8,12,20,2,41414,60.6,73,30,0,2,51,14,2,12,2,33233
0,64,13,28,41,-5,68342,70.7,141,60,0,1,29,0,71,20,19,39,-17,75486,66.1,169,56,0,2,29,10,-14,5,5,32168
1,5,0,1,1,1,4098,33.3,3,1,0,0,48,1,6,0,0,0,-1,6409,0.0,3,1,0,0,48,1,-21,1,0,36620
1,15,0,1,1,0,11785,20.0,9,8,0,0,54,1,22,1,2,3,3,17169,21.4,16,9,0,0,33,5,0,3,2,25535
3,3,0,1,1,-1,1663,100.0,3,4,0,0,35,2,76,19,12,31,13,58218,70.5,170,40,1,3,35,31,1,20,11,61131
2,79,23,26,49,-11,73865,72.1,150,46,0,3,33,2,78,13,24,37,14,56450,77.1,104,33,0,0,33,24,-3,11,13,44707
3,14,0,3,3,-1,10095,50.0,11,5,0,0,34,3,26,1,4,5,0,14257,62.5,22,8,0,1,34,13,3,9,4,40826
0,76,14,20,34,21,58036,87.2,99,27,0,0,42,0,72,15,11,26,5,59673,61.9,134,40,0,0,42,55,-16,26,29,79224
3,75,13,16,29,-12,62219,67.4,127,34,0,0,30,3,58,2,3,5,-3,32121,29.4,74,23,1,0,30,9,-2,6,3,23617
3,79,14,22,36,4,64762,73.5,133,54,0,2,47,0,76,17,32,49,10,75508,69.0,143,39,0,2,47,44,1,19,25,79131
1,78,10,37,47,21,107950,59.5,181,82,1,5,53,1,79,16,56,72,3,116175,61.5,166,101,2,1,53,63,32,46,17,119430
0,77,13,13,26,-2,69615,76.5,165,57,1,1,38,0,50,8,9,17,-6,46108,53.1,98,31,0,0,38,31,3,18,13,70048
3,75,13,26,39,3,58969,88.6,155,40,0,0,37,3,15,4,3,7,-1,12978,100.0,30,11,0,0,37,0,-1,0,0,4167
2,68,5,7,12,2,54010,75.0,62,22,0,2,39,2,42,4,3,7,-3,27087,58.3,42,9,0,0,39,13,-1,8,5,33927
0,80,30,20,50,10,95167,73.5,149,42,1,3,44,0,82,20,20,40,-20,89407,63.5,142,45,0,3,44,50,11,26,24,86436
0,81,21,25,46,16,77629,65.7,202,61,2,3,51,0,49,10,12,22,-8,50638,68.8,100,37,0,2,51,46,-2,24,22,85801
1,62,6,12,18,9,64745,47.4,55,44,0,1,46,1,76,4,16,20,-1,79885,33.9,87,41,1,1,46,25,20,20,5,74822
1,81,2,22,24,13,108758,40.7,77,35,0,1,35,1,73,5,13,18,12,94148,30.5,61,15,0,2,35,9,-3,8,1,59610
2,78,29,30,59,1,82102,86.8,242,79,3,8,48,2,74,26,35,61,17,78113,69.3,224,79,2,7,48,56,-20,34,22,90562
1,82,6,16,22,-1,107652,36.1,98,37,0,0,36,1,80,11,23,34,13,98941,43.0,84,59,0,2,47,17,-5,13,4,83247
0,65,9,18,27,-16,57197,90.0,138,54,2,3,54,0,48,5,7,12,-16,36720,63.2,79,25,1,3,29,4,-10,3,1,17103
1,29,0,3,3,-3,25672,21.4,17,11,0,0,28,1,32,2,5,7,0,25945,46.7,14,9,0,0,28,0,-3,0,0,11151
3,82,22,29,51,15,82896,62.2,257,65,0,6,50,3,70,21,23,44,16,66995,52.4,223,45,1,4,50,49,2,20,29,72756
0,82,16,24,40,-30,84291,85.1,155,42,0,1,55,0,81,20,32,52,-7,87636,76.5,158,74,0,4,55,44,-1,22,22,74303
3,5,0,1,1,3,3215,33.3,3,0,0,0,47,2,16,0,2,2,-3,10003,50.0,15,9,0,0,47,0,1,0,0,1531
2,76,20,39,59,17,82735,75.6,174,48,0,3,40,2,31,10,16,26,-2,33330,72.2,86,23,0,2,40,69,-2,42,27,94495
2,3,0,2,2,2,1925,100.0,3,4,0,0,43,2,3,0,2,2,1,2147,100.0,3,0,0,0,43,30,-12,20,10,60605
1,7,0,0,0,-1,5955,0.0,12,4,0,0,39,1,12,1,5,6,-1,10441,50.0,14,6,0,0,45,18,-5,15,3,44947
1,60,2,8,10,-17,81229,32.3,74,45,0,1,54,1,72,1,18,19,8,77667,42.2,73,38,0,0,54,10,-4,6,4,44127
1,75,1,24,25,-21,89430,51.0,104,41,0,2,55,1,71,5,14,19,-22,87317,38.8,130,43,0,2,55,6,-9,6,0,67397
0,16,4,2,6,0,15059,100.0,37,20,0,0,54,0,82,10,18,28,2,82149,54.9,156,48,1,0,54,40,22,25,15,85400
1,2,0,0,0,-5,1792,0.0,3,1,0,0,30,1,74,3,11,14,15,72228,29.2,98,41,0,2,45,8,2,6,2,40296
3,79,27,39,66,23,80936,77.6,143,63,0,4,40,3,82,16,30,46,2,83639,60.5,181,56,1,3,40,7,6,6,1,17220
0,81,16,14,30,1,78418,56.6,125,32,0,4,45,0,81,15,16,31,-1,76428,60.8,134,44,0,2,45,35,20,19,16,64812
3,65,4,9,13,3,46251,56.5,92,30,0,0,52,3,51,1,10,11,5,35352,52.4,55,25,0,3,52,17,6,11,6,56765
0,82,30,19,49,-15,80733,87.5,225,56,0,0,33,0,82,18,16,34,14,79022,60.7,211,71,0,0,33,32,1,19,13,74076
0,80,14,46,60,6,84301,78.9,185,49,0,3,45,0,82,14,47,61,1,92671,67.8,154,62,0,3,45,54,13,39,15,87921
2,74,17,29,46,12,73880,67.6,132,42,2,0,58,2,82,24,34,58,25,83610,60.4,129,35,0,1,58,14,-11,9,5,27825
1,14,1,2,3,-6,14977,60.0,13,9,0,1,37,1,61,4,6,10,-10,66815,27.0,91,46,0,1,37,15,10,7,8,78951
1,73,11,16,27,-19,102678,44.3,175,49,0,2,36,1,46,2,15,17,-6,60945,44.7,96,34,0,0,36,25,3,16,9,94623
1,60,6,8,14,-16,87031,33.3,86,49,1,1,33,1,82,5,18,23,23,107366,29.9,116,32,1,3,33,11,-6,8,3,90304
0,69,14,24,38,4,70957,62.3,167,60,1,4,53,0,66,19,26,45,-5,74534,64.3,130,62,0,3,53,50,3,29,21,82580
2,81,18,42,60,25,88896,83.3,153,42,0,2,40,2,69,11,17,28,-15,72080,60.9,118,39,0,1,40,17,2,12,5,41672
1,81,3,28,31,-14,107292,52.5,157,63,0,3,33,1,75,12,30,42,6,105315,56.0,152,58,1,1,33,57,10,41,16,115137
0,59,4,9,13,-1,43501,65.0,80,19,0,1,34,3,54,4,8,12,-2,39514,63.2,75,19,0,0,29,6,-7,3,3,23437
0,58,4,10,14,-21,54017,50.0,86,33,1,0,44,0,38,1,9,10,-1,27924,55.6,44,28,0,0,44,4,-4,2,2,26621
1,81,14,47,61,-3,123853,65.6,198,70,1,2,45,1,72,12,37,49,7,108323,49.0,218,66,1,1,45,53,24,39,14,110117
3,44,4,2,6,-6,24243,60.0,43,14,0,1,38,2,29,1,0,1,-12,18504,50.0,35,15,0,1,35,10,1,4,6,21954
0,76,17,28,45,-15,83327,83.3,260,89,1,6,54,0,82,32,29,61,-7,81570,72.6,236,97,1,2,54,55,2,23,32,80445
1,47,0,4,4,5,42566,18.2,54,19,0,0,40,1,11,1,1,2,-2,8750,50.0,10,5,0,0,40,1,-7,1,0,22772
2,65,20,15,35,-14,82045,92.1,271,85,1,5,31,2,70,28,15,43,-17,80648,75.4,260,76,0,5,31,54,-9,25,29,91617
3,82,46,60,106,17,100419,97.2,287,77,1,2,35,3,82,34,55,89,11,105263,78.1,292,81,1,8,35,76,-20,49,27,99318
3,9,0,0,0,-3,7981,0.0,14,3,0,0,54,3,8,1,0,1,-2,5134,100.0,11,3,0,0,54,9,-1,2,7,25640
1,82,16,66,82,-2,142555,75.9,248,127,2,3,48,1,77,17,54,71,10,123989,66.4,218,111,3,5,48,62,-25,53,9,113914
0,65,10,9,19,5,52742,76.0,96,43,0,2,51,0,67,11,11,22,7,51459,78.6,73,32,0,0,51,19,-5,11,8,56439
0,81,9,11,20,-9,70324,62.5,108,36,0,2,33,0,81,6,19,25,10,65063,58.1,96,33,0,1,33,78,49,35,43,92087
3,36,3,5,8,-7,26896,88.9,42,14,0,1,39,3,79,7,17,24,4,58315,64.9,110,26,0,1,39,19,-8,12,7,51812
1,67,9,34,43,13,101446,58.9,130,51,0,4,35,1,80,6,47,53,22,122960,51.5,183,60,0,0,35,32,-29,30,2,117229
0,11,2,0,2,3,8637,28.6,8,3,0,0,30,0,82,5,7,12,-17,58740,80.0,86,18,0,1,48,2,1,2,0,5516
0,17,1,2,3,-2,12539,60.0,26,7,0,0,35,0,47,6,10,16,15,38030,53.3,60,20,0,0,35,3,1,2,1,5490
0,79,21,32,53,5,92580,94.6,165,98,1,4,28,0,82,22,36,58,8,104814,63.7,186,87,1,5,28,14,-4,6,8,47612
3,82,26,33,59,9,90436,64.1,274,76,1,5,50,3,82,23,47,70,3,88259,69.3,229,61,1,4,50,92,-4,58,34,91935
2,15,0,2,2,-2,9319,40.0,14,6,0,0,39,2,10,1,0,1,1,5554,50.0,10,5,0,0,39,21,-7,10,11,52609
0,81,14,26,40,14,81625,62.5,154,57,0,7,53,2,81,19,17,36,-9,87494,51.4,177,61,1,4,53,47,22,32,15,81170
1,30,4,8,12,-4,39393,50.0,48,29,0,0,39,1,82,12,26,38,7,110061,35.8,201,80,0,4,39,21,-12,16,5,90475
1,76,10,48,58,22,103458,54.2,171,61,0,2,37,1,80,13,36,49,2,112108,44.1,124,67,0,3,37,67,10,59,8,118447
1,9,0,1,1,-1,5569,50.0,11,5,0,0,53,1,29,0,4,4,-4,22592,33.3,27,13,0,0,53,8,4,4,4,23594
0,82,17,39,56,6,98051,66.7,141,58,1,2,42,0,80,18,40,58,27,91753,60.4,139,50,1,4,42,45,9,31,14,90957
0,67,19,17,36,-12,71697,85.7,130,55,1,2,54,0,82,14,18,32,6,84002,40.0,114,37,0,1,54,19,0,12,7,70094
0,81,25,49,74,34,101412,85.1,177,64,0,3,41,0,76,12,40,52,-10,94694,73.2,150,66,1,5,41,92,21,57,35,108658
2,79,21,22,43,10,75636,58.1,158,58,0,4,47,2,75,28,25,53,6,76522,70.7,186,82,0,3,47,37,-2,21,16,54352
0,72,17,46,63,4,87700,79.7,143,58,0,4,30,0,82,23,31,54,-12,89860,74.0,158,67,1,3,30,44,10,27,17,64803
1,64,3,23,26,-21,84516,54.2,61,28,0,1,38,1,57,2,11,13,-7,66530,28.3,67,23,0,0,38,27,-14,23,4,87794
1,81,4,40,44,9,105043,50.6,244,91,1,6,30,1,81,8,43,51,-10,104979,56.0,208,86,0,3,30,59,0,45,14,93030
0,41,0,4,4,-5,33262,50.0,50,18,0,0,35,0,70,5,12,17,7,58886,53.1,83,21,0,1,35,6,-6,5,1,31211
3,77,30,36,66,9,84141,85.7,209,77,2,3,53,3,74,40,45,85,13,86320,82.5,246,89,2,11,53,100,15,61,39,95143
3,42,5,10,15,3,30744,75.0,52,16,1,0,50,3,57,4,12,16,8,36425,69.6,49,22,1,2,50,8,-6,6,2,41489
1,8,0,0,0,-2,5926,0.0,9,3,0,0,34,1,21,0,3,3,-3,17945,42.9,19,11,0,0,34,8,-3,6,2,55319
2,81,9,13,22,13,68336,51.2,92,25,0,3,46,2,72,12,11,23,3,59691,51.1,74,39,0,2,46,3,0,2,1,9311
1,74,1,16,17,8,93393,29.8,99,40,0,0,40,1,47,2,3,5,-26,61766,25.0,42,27,0,0,31,11,6,8,3,63508
2,80,17,23,40,29,80758,55.6,150,58,0,4,50,2,71,9,20,29,0,66088,63.0,134,39,0,1,50,29,8,16,13,58776
0,82,20,57,77,27,85683,85.6,193,53,0,5,58,0,82,19,40,59,18,83410,72.0,170,65,1,3,58,83,3,56,27,89168
2,78,25,21,46,-13,88519,69.7,181,65,1,5,35,2,78,23,8,31,-14,75702,64.6,142,60,0,4,46,29,11,17,12,69612
2,75,20,33,53,-5,85166,81.5,170,38,1,2,36,2,72,18,15,33,-25,81136,68.8,169,49,1,2,36,62,16,37,25,94270
0,80,23,22,45,11,79412,75.0,221,74,0,6,38,0,80,17,15,32,-28,77534,69.6,178,60,2,1,38,63,-9,47,16,97630
1,82,3,15,18,15,110747,40.0,65,38,0,0,44,1,79,4,15,19,21,95509,25.0,85,39,0,1,39,13,10,9,4,82904
2,74,10,7,17,-4,65799,45.9,95,47,0,2,31,0,36,6,5,11,-7,36401,52.4,49,20,1,3,31,17,-30,13,4,67751
0,71,7,14,21,-2,44448,87.5,85,24,0,1,49,0,2,0,0,0,0,1229,0.0,4,0,0,0,49,20,-10,10,10,54043
3,76,6,14,20,-1,63196,54.1,78,31,1,1,48,0,37,1,3,4,-8,20277,50.0,26,7,0,2,34,12,-8,10,2,38443
1,81,5,35,40,-9,109929,48.8,121,50,1,2,46,1,81,11,35,46,-3,110410,49.5,137,67,1,2,46,42,-42,32,10,107621
2,80,15,21,36,-2,69967,59.0,183,56,0,1,46,2,81,34,18,52,9,75759,67.5,191,59,0,1,46,62,-25,22,40,84953
0,79,9,25,34,12,76232,54.8,83,18,0,1,52,0,64,7,15,22,-6,58273,44.9,67,8,0,0,52,8,-8,5,3,39114
2,6,0,0,0,0,2780,0.0,3,2,0,0,49,2,10,1,1,2,-1,5436,100.0,7,3,0,0,49,5,-7,4,1,24542
2,12,5,0,5,2,8868,71.4,20,8,0,1,54,2,13,2,8,10,2,9808,90.9,27,13,0,0,54,4,0,3,1,10145
1,1,0,0,0,0,390,0.0,0,0,0,0,43,1,2,0,0,0,-1,2279,0.0,3,1,0,0,43,1,-5,1,0,18063
1,71,16,51,67,9,114786,72.0,218,50,0,3,50,1,41,5,29,34,2,62774,55.7,122,40,0,1,50,51,-9,42,9,120058
0,82,10,15,25,-21,77649,65.8,107,42,1,2,39,0,78,16,19,35,-2,66630,56.5,120,42,0,3,39,23,-17,14,9,61671
0,75,8,8,16,-10,65519,66.7,167,55,0,4,41,0,82,12,12,24,-6,70224,66.7,145,61,0,3,41,26,-6,12,14,62157
0,68,13,15,28,12,49681,82.4,114,39,0,2,47,0,65,8,12,20,2,42235,71.4,86,28,1,0,47,11,-11,2,9,44512
1,4,0,0,0,-3,3371,0.0,2,2,0,0,37,1,73,6,12,18,8,95795,26.9,99,48,0,4,37,27,19,20,7,105977
0,82,11,28,39,-23,89108,72.2,176,57,0,3,32,0,72,11,34,45,-2,78543,69.2,151,69,0,0,32,44,-8,28,16,86959
1,80,10,18,28,7,105609,44.4,149,59,1,2,28,1,66,6,14,20,13,88900,32.3,94,34,0,4,28,31,16,18,13,94143
0,57,17,25,42,-13,67020,80.8,127,43,0,2,57,0,59,21,26,47,-7,62152,73.4,119,37,1,1,57,43,2,27,16,83314
1,66,4,6,10,9,74713,23.3,90,38,0,0,50,1,82,1,6,7,-7,102209,18.9,84,29,0,0,44,8,7,6,2,56738
0,74,7,10,17,-9,62242,68.0,73,20,0,1,57,0,82,15,14,29,1,78962,52.7,122,38,1,3,57,21,9,13,8,40213
2,81,20,35,55,26,83772,63.2,124,83,0,2,41,2,82,23,27,50,-3,84435,58.1,175,71,0,3,39,34,-12,24,10,78526
1,67,6,13,19,27,80240,29.2,95,34,0,1,50,1,55,1,6,7,17,59611,15.2,66,22,0,0,50,29,-1,22,7,92279
1,28,1,7,8,10,33800,28.6,20,17,0,0,49,1,73,2,16,18,-5,88074,47.4,65,29,0,1,49,21,8,15,6,78611
0,64,6,7,13,7,50502,76.5,79,30,0,1,40,0,82,6,10,16,-7,61819,61.5,91,31,1,2,40,14,-9,11,3,50886
0,72,21,31,52,-4,81501,74.3,245,84,2,6,36,0,82,16,37,53,-14,98124,64.6,251,74,0,7,36,97,11,58,39,88379
0,57,27,31,58,1,66241,89.2,162,51,1,5,50,0,62,33,39,72,18,69263,77.4,191,54,0,3,50,98,16,56,42,88873
1,56,1,6,7,2,55533,29.2,67,28,0,0,49,1,65,3,9,12,-12,70419,33.3,84,31,0,1,49,19,0,12,7,70013
1,71,5,10,15,11,80013,34.9,88,38,0,0,28,1,82,5,12,17,14,91639,28.8,88,40,0,1,28,37,34,30,7,97697
3,10,2,1,3,-6,7020,30.0,18,4,0,2,38,3,60,17,19,36,10,57246,78.3,133,47,0,5,38,48,-1,24,24,83010
2,77,37,24,61,21,85933,85.9,250,67,0,4,30,2,80,39,46,85,18,93295,75.2,226,89,2,3,30,85,25,51,34,80441
0,45,7,11,18,-10,32641,64.3,81,28,0,1,53,0,75,30,21,51,-21,76099,73.9,193,51,0,6,40,75,36,48,27,80871
1,65,1,6,7,-3,65400,24.1,55,34,0,0,54,1,25,1,6,7,3,27071,35.0,22,17,0,0,54,0,-2,0,0,2001
2,82,25,23,48,-22,93620,61.5,216,76,0,5,51,2,82,27,19,46,4,84416,56.1,190,79,1,4,51,47,1,20,27,83580
2,72,12,15,27,-7,53302,65.9,104,33,0,1,39,2,81,27,15,42,13,81345,54.5,178,60,0,5,39,43,1,26,17,73420
2,80,10,9,19,2,50671,57.6,86,31,0,0,46,2,82,5,4,9,0,43776,45.0,66,30,0,0,54,12,0,9,3,23965
1,78,3,17,20,13,97006,33.9,49,21,0,0,51,1,81,4,22,26,10,93441,42.6,57,18,0,1,51,2,3,2,0,12399
1,78,10,21,31,16,98985,43.7,124,72,0,1,41,1,82,9,30,39,-17,106475,50.6,144,78,1,1,41,25,3,16,9,105625
2,81,9,15,24,-9,73827,82.8,109,49,1,3,29,2,77,11,14,25,-8,72438,56.8,109,48,2,1,29,15,-24,9,6,68090
2,55,4,7,11,-4,36621,57.9,52,22,0,1,36,2,64,3,4,7,-14,38220,70.0,73,30,0,2,36,1,-1,0,1,6826
1,3,0,0,0,1,3156,0.0,4,1,0,0,40,1,81,7,10,17,-5,102317,28.3,179,63,0,4,40,27,-1,17,10,103699
0,71,12,16,28,-17,57565,77.8,101,33,0,1,36,2,45,8,4,12,0,36612,54.5,51,22,0,0,57,3,-1,2,1,18100
1,6,1,0,1,-4,6159,33.3,4,2,0,0,46,1,25,2,7,9,-1,21210,45.0,39,13,1,2,46,12,-6,10,2,50322
1,77,4,10,14,6,88323,31.8,62,30,0,2,31,1,76,3,17,20,-7,94415,30.8,79,39,0,1,31,12,-11,9,3,62013
0,69,9,9,18,-6,51841,66.7,106,33,1,2,55,0,29,1,6,7,-1,20245,53.8,44,16,0,0,40,28,11,19,9,54081
3,20,1,1,2,-10,14018,50.0,41,8,0,0,43,3,31,1,4,5,-4,18393,55.6,31,13,0,1,43,1,-1,1,0,9463
3,20,2,2,4,-4,12550,80.0,37,8,0,0,48,3,7,0,0,0,-3,2839,0.0,7,2,0,0,48,5,-5,2,3,15032
0,45,16,32,48,-1,50989,90.6,105,30,0,2,39,0,82,30,70,100,27,103967,78.1,252,72,0,5,39,108,20,67,41,106034
1,73,9,25,34,26,97903,41.0,113,60,0,2,47,1,77,6,36,42,20,112530,43.8,153,67,0,0,47,29,8,25,4,88179
2,21,3,1,4,-14,14092,66.7,25,6,0,1,32,2,57,7,9,16,-11,41031,72.7,74,27,0,0,32,30,-12,14,16,69584
2,84,22,17,39,-7,72035,65.0,156,57,0,1,28,2,72,9,8,17,-23,56906,60.7,116,33,0,1,29,29,-5,16,13,61351
0,15,2,0,2,1,7432,66.7,14,3,0,1,40,0,46,3,4,7,-3,27331,46.7,36,9,1,0,40,4,-4,2,2,15100
2,3,0,0,0,-1,1584,0.0,3,1,0,0,37,2,53,6,10,16,5,34509,69.6,66,28,0,0,37,2,3,2,0,3403
2,82,8,5,13,1,51854,52.0,73,19,0,1,36,2,59,5,1,6,-3,25366,60.0,30,8,0,0,36,4,-11,3,1,21264
1,81,2,12,14,11,91441,28.6,91,54,0,0,41,1,49,2,2,4,1,44292,21.1,47,27,0,0,41,15,26,10,5,91892
0,6,1,1,2,-1,4409,100.0,9,6,0,0,47,0,58,4,4,8,-4,43271,47.1,72,13,0,3,55,0,0,0,0,258
1,47,1,4,5,-15,47648,23.8,30,11,0,1,44,1,51,1,5,6,-9,56813,24.0,48,24,0,0,44,3,7,2,1,32815
1,69,5,7,12,12,85525,21.1,74,21,0,1,48,1,68,0,12,12,13,80877,22.6,69,11,0,0,48,3,11,2,1,38628
2,3,0,1,1,1,2408,50.0,2,3,0,0,33,2,4,0,0,0,-3,2804,0.0,2,2,0,0,33,22,-8,8,14,38444
1,42,3,13,16,0,39803,50.0,59,28,0,1,30,1,61,6,7,13,0,57886,38.2,85,60,1,2,30,41,-4,31,10,95171
0,82,22,21,43,10,73971,82.7,135,49,0,2,47,2,82,22,34,56,17,80523,78.9,132,49,1,6,47,58,-4,35,23,83740
1,71,5,13,18,15,81190,33.3,64,34,0,2,30,1,58,3,10,13,1,61927,37.1,49,21,0,1,30,16,16,15,1,79392
0,71,11,8,19,2,54041,86.4,69,17,0,0,43,0,78,8,9,17,5,58992,58.6,68,30,0,0,43,11,-5,5,6,41049
0,81,27,36,63,-6,93166,71.6,197,67,0,5,34,0,82,27,31,58,-1,86478,71.6,199,64,2,1,34,64,3,33,31,82948
0,80,6,9,15,-2,63816,62.5,94,23,1,2,47,0,82,11,14,25,2,63673,75.8,96,21,0,0,30,12,3,6,6,30892
1,73,4,15,19,-12,86891,43.2,106,47,0,0,44,1,63,12,10,22,-7,71731,52.4,102,54,0,0,44,18,3,11,7,97245
1,33,1,6,7,-7,31498,28.0,44,9,0,0,30,1,17,0,1,1,-4,15836,25.0,19,10,0,1,30,16,-4,10,6,56223
2,81,8,13,21,-5,57849,53.8,111,42,1,0,31,2,81,14,18,32,-4,56408,66.7,134,36,0,4,31,0,-9,0,0,8641
1,11,0,0,0,-4,6998,0.0,8,3,0,0,51,1,4,1,1,2,2,2302,66.7,3,0,0,0,51,4,1,4,0,28015
1,78,6,11,17,5,95985,31.5,101,48,0,3,29,1,77,2,15,17,-13,88604,34.0,81,36,1,1,29,14,-3,12,2,74663
1,35,0,10,10,-1,36232,45.5,47,18,0,0,32,1,27,0,2,2,-11,21339,40.0,17,7,0,0,32,5,8,3,2,23954
1,82,4,21,25,-10,112403,29.8,90,34,0,0,33,1,60,2,9,11,3,65999,26.2,52,19,0,0,33,12,4,11,1,48672
1,82,8,32,40,7,113460,57.1,203,91,0,3,41,1,82,9,19,28,-21,109688,39.4,184,72,1,2,41,42,10,34,8,96131
1,73,9,18,27,6,99068,48.2,140,52,1,2,57,1,11,2,3,5,5,14657,45.5,16,7,0,0,57,36,9,30,6,105417
0,80,14,21,35,17,67756,71.4,106,31,0,4,53,0,74,10,18,28,-4,65645,50.0,114,40,0,2,53,48,6,26,22,83046
2,60,15,21,36,8,60982,73.5,183,63,1,6,47,3,67,23,15,38,9,66186,63.3,195,64,1,5,47,34,-12,13,21,72654
0,64,9,13,22,-5,49752,78.6,76,21,0,0,32,0,81,7,10,17,-1,67094,68.0,125,43,0,3,30,41,16,26,15,70266
3,82,31,27,58,27,93831,66.7,268,87,1,7,45,3,70,23,18,41,-10,74312,67.2,202,57,0,1,45,44,-11,19,25,73166
2,81,26,14,40,-3,76804,80.0,165,46,0,3,46,0,81,20,25,45,-6,76050,71.4,173,40,0,2,46,35,-4,16,19,72464
1,7,0,4,4,1,6225,52.7478747203579,5,2,0,0,31,1,11,0,0,0,-3,8319,0.0,10,2,0,0,31,8,-14,5,3,41692
1,38,0,8,8,-1,35660,50.0,36,20,0,1,37,1,40,0,3,3,-4,37869,15.8,46,15,0,0,37,15,27,12,3,81014
1,8,0,2,2,4,5946,33.3,8,5,0,0,58,1,2,0,0,0,-1,1540,0.0,0,1,0,0,58,1,2,1,0,6109
