Position_previous,GP_previous,G_previous,A_previous,PTS_previous,+/-_previous,TOI_previous,IPP%_previous,Shots_previous,Shots_missed_previous,Shots_cbar_previous,Shots_post_previous,Team_previous,Position_next,GP_next,G_next,A_next,PTS_next,+/-_next,TOI_next,IPP%_next,Shots_next,Shots_missed_next,Shots_cbar_next,Shots_post_next,Team_next,latest_PTS,latest_+/-,latest_A,latest_G,latest_TOI
2,80,17,34,51,-33,88941,77.3,166,64,0,4,36,2,81,10,16,26,0,69738,54.2,122,51,1,1,51,37,0,22,15,59304
1,64,7,17,24,-11,85815,46.2,121,39,0,0,31,1,56,2,9,11,-17,67493,32.4,73,29,0,3,31,1,-9,1,0,20689
3,30,1,2,3,-3,11970,60.0,11,5,0,0,33,3,51,0,3,3,-3,17793,50.0,13,6,0,0,28,1,0,0,1,2655
0,63,9,20,29,13,59871,74.4,97,30,0,3,50,0,80,18,19,37,-5,79931,72.5,142,36,0,2,50,25,4,13,12,66608
1,63,1,1,2,-4,55290,8.7,27,13,0,1,48,1,70,1,2,3,-3,58845,12.5,50,24,0,0,48,11,-6,8,3,45684
1,40,2,1,3,2,31846,21.4,47,21,0,1,52,1,38,1,3,4,11,32118,17.4,45,20,0,0,52,13,11,9,4,63947
2,39,8,11,19,-13,33392,82.6,74,24,0,1,44,0,39,6,4,10,-6,27909,58.8,70,19,0,2,44,5,-12,2,3,13651
0,44,2,5,7,-6,31774,53.8,49,17,0,0,34,0,61,3,4,7,-2,41528,38.9,53,25,0,0,34,9,1,6,3,33868
3,22,1,3,4,0,16321,57.1,25,8,0,0,45,2,6,0,0,0,0,4032,0.0,4,2,0,0,36,11,-6,6,5,37947
1,72,3,16,19,-4,99853,40.4,105,48,0,0,52,1,81,1,14,15,6,108889,21.1,106,32,0,1,52,7,5,5,2,42287
1,70,9,16,25,17,89741,41.7,165,71,0,3,46,1,66,6,17,23,11,82095,39.0,155,79,0,1,46,18,-8,12,6,70268
0,76,13,7,20,-7,58871,64.5,117,41,2,0,53,0,75,13,12,25,3,58649,55.6,131,50,0,0,53,23,-9,10,13,55026
0,57,12,23,35,-9,59308,83.3,99,35,1,1,54,0,78,18,37,55,-1,76890,62.5,144,52,0,2,54,43,6,32,11,76023
0,80,27,31,58,12,85849,73.4,182,51,0,1,47,0,81,14,25,39,12,84461,52.0,195,67,1,2,48,46,0,25,21,76605
1,80,4,19,23,11,98685,40.4,114,42,0,1,51,1,81,4,9,13,1,97589,27.1,95,58,0,0,51,33,7,28,5,103656
1,68,2,5,7,-5,83311,22.6,58,29,0,2,42,1,68,3,22,25,5,79838,39.7,85,37,0,1,42,21,23,15,6,94627
0,76,7,4,11,-1,49271,64.7,49,26,0,1,52,0,69,8,7,15,2,46394,55.6,55,17,0,0,52,33,13,23,10,65429
3,82,18,21,39,2,83614,68.4,142,41,0,6,52,3,74,13,12,25,-11,72029,46.3,86,40,0,0,34,22,-7,16,6,63527
3,7,1,5,6,-2,6288,75.0,11,3,0,0,54,3,82,20,16,36,3,79733,53.7,138,52,1,6,54,28,0,14,14,73866
3,82,11,17,28,-5,79573,82.4,218,89,0,6,41,3,80,14,22,36,-4,76801,65.5,175,74,0,2,41,61,31,33,28,96405
3,78,8,14,22,16,62531,61.1,140,46,0,3,53,3,64,3,3,6,-7,39824,54.5,67,20,0,1,53,7,-5,5,2,25580
2,79,17,21,38,4,61736,79.2,126,44,3,3,58,2,64,12,23,35,13,50931,79.5,111,31,0,3,58,25,3,13,12,46497
1,82,27,48,75,-5,127251,65.8,353,141,0,4,51,1,82,29,47,76,19,122324,65.5,321,155,0,6,51,67,-16,55,12,124194
1,5,0,0,0,-1,3450,0.0,4,1,0,0,52,1,1,0,0,0,0,1288,0.0,1,0,0,0,52,0,1,0,0,4790
1,81,19,34,53,4,122487,51.0,247,104,1,3,57,1,80,13,39,52,10,131734,47.3,241,92,2,7,57,45,15,37,8,100763
2,62,11,7,18,-9,51182,81.8,51,15,1,1,43,2,81,22,21,43,21,73228,71.7,96,24,2,2,43,35,-4,15,20,79337
3,73,10,18,28,-5,75502,62.2,156,70,1,2,53,3,18,2,2,4,-4,15274,57.1,22,10,1,0,53,18,-4,13,5,53551
2,73,11,13,24,1,66261,68.6,114,31,0,4,33,2,65,10,5,15,-4,52054,50.0,92,30,1,3,33,24,-10,15,9,55377
0,4,1,0,1,0,2393,100.0,5,0,0,0,58,0,6,0,0,0,-2,3773,0.0,8,2,0,0,58,14,-13,7,7,36936
1,56,8,31,39,16,79637,59.1,124,54,2,2,58,1,72,9,28,37,7,98106,48.7,180,87,0,2,58,68,0,53,15,121926
0,1,0,0,0,0,447,0.0,0,0,0,0,51,0,11,2,2,4,5,6853,66.7,20,2,0,0,51,15,1,6,9,39310
2,23,6,3,9,0,16661,81.8,39,21,1,0,43,2,33,2,7,9,4,20306,69.2,44,19,0,0,43,16,2,10,6,27665
1,19,2,2,4,-5,17708,57.1,21,16,0,0,54,1,67,2,6,8,8,65671,14.5,89,50,0,1,54,12,5,8,4,42680
0,77,24,38,62,18,84954,88.6,242,105,0,3,41,0,82,32,34,66,2,88717,77.6,250,104,1,3,41,22,4,9,13,28905
1,75,10,16,26,9,86851,57.8,116,42,0,2,48,1,79,2,15,17,-11,109992,30.4,143,53,0,1,48,19,-27,14,5,114830
0,8,1,1,2,3,4319,50.0,10,0,0,0,33,0,68,4,5,9,-12,44970,56.3,64,15,0,1,55,0,-4,0,0,5285
1,80,9,28,37,12,115665,46.3,158,57,0,2,30,1,75,9,19,29,18,104997,36.7,135,52,0,1,30,24,22,17,7,100317
1,70,1,9,10,-9,60723,31.3,75,39,0,1,57,1,59,2,10,12,2,54237,34.3,49,11,0,0,57,14,15,12,2,52244
3,77,8,6,14,2,63005,38.9,88,31,1,1,48,3,81,12,12,24,-6,65069,64.9,104,26,0,1,34,18,1,9,9,43062
